ticker_blackrock,yahoo_ticker,nom,secteur,ponderation_pct,pays,bourse,devise
ASML,ASML.AS,ASML HOLDING NV,Technologie de l'information,4.13536,Pays-Bas,Euronext Amsterdam,EUR
HSBA,HSBA.L,HSBC HOLDINGS PLC,Finance,2.09339,Royaume-Uni,London Stock Exchange,GBP
ROP,ROP.SW,ROCHE PS PAR AG,Santé,1.93532,Suisse,SIX Swiss Exchange,CHF
NOVN,NOVN.SW,NOVARTIS AG,Santé,1.8859,Suisse,SIX Swiss Exchange,CHF
AZN,AZN.L,ASTRAZENECA PLC,Santé,1.88264,Royaume-Uni,London Stock Exchange,GBP
NESN,NESN.SW,NESTLE SA,Biens de consommation de base,1.72519,Suisse,SIX Swiss Exchange,CHF
SHELL,SHELL.AS,SHELL PLC,Energie,1.57635,Royaume-Uni,Euronext Amsterdam,EUR
SIE,SIE.DE,SIEMENS N AG,Industries,1.56314,Allemagne,Xetra,EUR
TTE,TTE.PA,TOTALENERGIES,Energie,1.2641,France,Nyse Euronext - Euronext Paris,EUR
SAN,SAN.MC,BANCO SANTANDER,Finance,1.20413,Espagne,Bolsa De Madrid,EUR
SAP,SAP.DE,SAP,Technologie de l'information,1.18555,Allemagne,Xetra,EUR
SU,SU.PA,SCHNEIDER ELECTRIC,Industries,1.18145,France,Nyse Euronext - Euronext Paris,EUR
ALV,ALV.DE,ALLIANZ,Finance,1.10787,Allemagne,Xetra,EUR
ABBN,ABBN.SW,ABB LTD,Industries,1.10419,Suisse,SIX Swiss Exchange,CHF
ENR,ENR.DE,SIEMENS ENERGY N AG,Industries,0.98873,Allemagne,Xetra,EUR
RR.,RR..L,ROLLS-ROYCE HOLDINGS PLC,Industries,0.97913,Royaume-Uni,London Stock Exchange,GBP
NOVO B,NOVO-B.CO,NOVO NORDISK CLASS B,Santé,0.97009,Danemark,Omx Nordic Exchange Copenhagen A/S,DKK
UBSG,UBSG.SW,UBS GROUP AG,Finance,0.9485,Suisse,SIX Swiss Exchange,CHF
IBE,IBE.MC,IBERDROLA SA,Services publics,0.92979,Espagne,Bolsa De Madrid,EUR
MC,MC.PA,LVMH,Biens de consommation cycliques,0.91918,France,Nyse Euronext - Euronext Paris,EUR
BATS,BATS.L,BRITISH AMERICAN TOBACCO,Biens de consommation de base,0.90272,Royaume-Uni,London Stock Exchange,GBP
BBVA,BBVA.MC,BANCO BILBAO VIZCAYA ARGENTARIA SA,Finance,0.87066,Espagne,Bolsa De Madrid,EUR
SAF,SAF.PA,SAFRAN SA,Industries,0.85549,France,Nyse Euronext - Euronext Paris,EUR
UCG,UCG.MI,UNICREDIT,Finance,0.84101,Italie,Borsa Italiana,EUR
ULVR,ULVR.L,UNILEVER PLC,Biens de consommation de base,0.82332,Royaume-Uni,London Stock Exchange,GBP
AI,AI.PA,LAIR LIQUIDE SOCIETE ANONYME POUR,Matériaux,0.80567,France,Nyse Euronext - Euronext Paris,EUR
AIR,AIR.PA,AIRBUS GROUP,Industries,0.80247,France,Nyse Euronext - Euronext Paris,EUR
IFX,IFX.DE,INFINEON TECHNOLOGIES AG,Technologie de l'information,0.80131,Allemagne,Xetra,EUR
DTE,DTE.DE,DEUTSCHE TELEKOM N AG,La communication,0.78224,Allemagne,Xetra,EUR
RIO,RIO.L,RIO TINTO PLC,Matériaux,0.75284,Royaume-Uni,London Stock Exchange,GBP
BP.,BP..L,BP PLC,Energie,0.7496,Royaume-Uni,London Stock Exchange,GBP
CFR,CFR.SW,COMPAGNIE FINANCIERE RICHEMONT SA,Biens de consommation cycliques,0.74326,Suisse,SIX Swiss Exchange,CHF
BNP,BNP.PA,BNP PARIBAS SA,Finance,0.73235,France,Nyse Euronext - Euronext Paris,EUR
OR,OR.PA,LOREAL SA,Biens de consommation de base,0.70891,France,Nyse Euronext - Euronext Paris,EUR
